TargetT,AverageT,AverageL2N,StdError
850K,890.2160031929743,12.92149279428708,1.2034600535275062
675K,708.1831758324136,12.939672429573173,1.3694986758926804
580K,607.4981884160043,12.663286313218453,1.2960049978687223
500K,523.8418577224411,12.7603847246166,1.7055266049637965
425K,445.3450513839874,12.357305263378304,1.2922350792189272
325K,340.73962026063873,9.909791372869606,2.591651175808484
280K, 293.6316715590627,9.445961600450216,2.7540201011574053
250K,261.3705367685433,7.524086634228108,2.285830046636688
200K,209.38654531675078,5.033284638027544,1.4190840448040913
150K,157.23511636811907,4.39699025728629,1.1286807518969202



